IDs         length   Exptl.  resolution  R-factor FreeRvalue
2O8PA       227      XRAY        1.820    0.20    0.24
2V3AA       384      XRAY        2.400    0.17    0.20
4DEVA       408      XRAY        2.000    0.19    0.22
1TWFL        70      XRAY        2.300    0.26    0.29
3MCPA       366      XRAY        3.000    0.21    0.25
4FGWA       391      XRAY        2.450    0.21    0.21
3ROBA       139      XRAY        1.480    0.17    0.19
4R12A       593      XRAY        1.950    0.18    0.20
5N88E        80      XRAY        1.700    0.19    0.25
2CXHA       217      XRAY        1.800    0.18    0.21
4LVIA       198      XRAY        1.900    0.21    0.25
4PM4A       301      XRAY        2.200    0.20    0.25
4KDRA       223      XRAY        2.000    0.19    0.23
3HGUA       369      XRAY        1.950    0.20    0.25
5LP9A       162      XRAY        0.890    0.11    0.13
3LM3A       449      XRAY        1.440    0.14    0.16
2GSCA       128      XRAY        2.450    0.22    0.28
2OAIA        94      XRAY        1.800    0.18    0.20
4P1NA       275      XRAY        2.200    0.21    0.26
2HJMA       103      XRAY        2.900    0.23    0.28
3DB2A       354      XRAY        1.700    0.14    0.17
3W42A       199      XRAY        1.060    0.13    0.15
2GWFA       157      XRAY        2.300    0.21    0.24
6EIOA       237      XRAY        0.840    0.12    0.13
5KCIA       199      XRAY        1.830    0.21    0.25
2OQMA       192      XRAY        1.830    0.16    0.20
5XDZB       122      XRAY        1.700    0.19    0.24
4Y88A       108      XRAY        1.450    0.15    0.18
5HB3B        55      XRAY        2.650    0.21    0.25
3B21A       220      XRAY        2.010    0.18    0.23
4IHQA       513      XRAY        2.000    0.19    0.21
4V4M0       196      XRAY        1.450    0.18    0.21
2WVBA       148      XRAY        1.900    0.19    0.22
4YIIA        90      XRAY        1.800    0.20    0.24
2SCPA       174      XRAY        2.000    0.18    1.00
2QSBA        89      XRAY        1.300    0.15    0.18
4KUIA       224      XRAY        1.850    0.17    0.20
4Q98A       369      XRAY        1.300    0.12    0.16
5VOLA       275      XRAY        1.980    0.17    0.20
1J5YA       187      XRAY        2.300    0.19    0.23
3PL8A       623      XRAY        1.350    0.16    0.19
3ZGHA       205      XRAY        2.000    0.18    0.20
2REYA       100      XRAY        1.550    0.21    0.24
6MD5A       319      XRAY        1.700    0.18    0.22
2OYYA        76      XRAY        2.500    0.24    0.27
5D66A       198      XRAY        1.000    0.14    0.17
1N8VA       112      XRAY        1.390    0.18    0.20
6DOPA       142      XRAY        1.250    0.16    0.18
4BJ0A       176      XRAY        1.000    0.12    0.13
2A1VA       144      XRAY        2.150    0.16    0.23
1OUWA       152      XRAY        1.370    0.15    0.18
1CB8A       678      XRAY        1.900    0.20    0.26
1QYNA       153      XRAY        2.350    0.24    0.27
5W56A       286      XRAY        2.030    0.17    0.20
2PMAA       146      XRAY        1.890    0.19    0.21
3L00A       182      XRAY        1.700    0.18    0.21
4DPZX       137      XRAY        1.250    0.15    0.18
3FT1A       100      XRAY        1.790    0.17    0.22
3GB5A       259      XRAY        2.000    0.17    0.19
2VQ2A       225      XRAY        1.540    0.17    0.18
4YBBCO      125      XRAY        2.100    0.22    0.23
3CRKC        87      XRAY        2.300    0.21    0.25
4ZHBA       114      XRAY        1.300    0.13    0.16
3IQTA       123      XRAY        1.400    0.14    0.18
4MCWA       369      XRAY        2.030    0.19    0.21
3PLWA       186      XRAY        1.400    0.16    0.17
3THIA       371      XRAY        2.000    0.20    0.26
4DJBA       130      XRAY        2.050    0.21    0.26
5LSFB       239      XRAY        2.100    0.19    1.00
3NREA       291      XRAY        1.590    0.16    0.19
3LUTA       367      XRAY        2.900    0.21    0.22
2FP1A       166      XRAY        1.550    0.18    0.21
5AKOC       179      XRAY        2.400    0.20    0.25
5MAOA        71      XRAY        1.350    0.24    0.25
1A41A       234      XRAY        2.300    0.23    0.31
4QQ6A        67      XRAY        1.750    0.17    0.24
3T92A       121      XRAY        1.500    0.18    0.23
4OUNA       163      XRAY        1.800    0.21    0.27
4Z3GA       198      XRAY        1.450    0.17    0.19
2VVYA       169      XRAY        2.690    0.22    0.24
4F3FC        69      XRAY        2.650    0.18    0.22
2VBUA       136      XRAY        1.700    0.16    0.21
4IUPA       135      XRAY        1.900    0.17    0.19
3ZF8A       305      XRAY        1.980    0.19    0.24
1Q2HA        69      XRAY        1.700    0.25    0.27
5DFYA       215      XRAY        1.600    0.16    0.18
4Q35A       802      XRAY        2.390    0.19    0.23
3GQ8A       609      XRAY        2.000    0.17    0.20
2ODFA       257      XRAY        1.900    0.19    0.23
3M3PA       250      XRAY        1.300    0.12    0.15
3I0WA       290      XRAY        1.730    0.20    0.22
2CHCA       170      XRAY        1.690    0.17    0.20
3K6RA       278      XRAY        2.100    0.21    0.26
2ZE3A       275      XRAY        1.650    0.22    0.23
5LE5I       205      XRAY        1.800    0.18    0.21
5X42B        70      XRAY        1.800    0.21    0.26
1JNRA       643      XRAY        1.600    0.18    0.20
3FM2A       135      XRAY        1.800    0.20    0.22
2C9QA       102      XRAY        1.600    0.19    0.23
4DLOA       382      XRAY        2.300    0.19    0.23
5XQHA       268      XRAY        2.040    0.20    0.25
2H5NA       133      XRAY        2.010    0.19    0.24
5WW9A       161      XRAY        2.000    0.18    0.22
4ZFLA       234      XRAY        1.700    0.14    0.17
4NZKA       353      XRAY        1.490    0.13    0.16
3O6QB        56      XRAY        2.500    0.20    0.26
4U4RO8       77      XRAY        2.800    0.21    0.25
2VBKA       514      XRAY        1.250    0.12    0.14
2CXIA       348      XRAY        1.940    0.19    0.23
3PUCA        99      XRAY        0.960    0.12    0.14
4HH3C       240      XRAY        1.750    0.17    0.20
2QKHB        42      XRAY        1.900    0.18    0.18
5YCQA       105      XRAY        2.500    0.23    0.27
4RH0A       368      XRAY        2.100    0.20    0.23
3KLUA       157      XRAY        2.200    0.23    0.25
5IDVA       279      XRAY        1.450    0.15    0.18
3SM4A       229      XRAY        1.880    0.16    0.19
3MUJA       138      XRAY        1.920    0.17    0.19
2IWRA       178      XRAY        1.500    0.15    0.21
4AT0A       510      XRAY        1.600    0.16    0.17
4HB9A       412      XRAY        1.930    0.18    0.22
5NA1A       408      XRAY        2.320    0.18    0.21
1UB9A       100      XRAY        2.050    0.22    0.24
2HXIA       241      XRAY        1.700    0.19    0.23
3LHXA       319      XRAY        1.870    0.22    0.26
2XOMA       152      XRAY        0.950    0.10    0.12
3OAOA       147      XRAY        2.720    0.21    0.24
5K04A       750      XRAY        2.400    0.20    0.24
3TEUA        98      XRAY        1.000    0.11    0.14
1WWCA       118      XRAY        1.900    0.19    0.29
3M7AA       140      XRAY        1.220    0.12    0.15
3C8LA       122      XRAY        1.220    0.16    0.18
3VUQA       187      XRAY        2.050    0.20    0.25
2XCIA       374      XRAY        2.000    0.21    0.25
4N3XA        51      XRAY        2.000    0.19    0.23
3MMPF       589      XRAY        2.500    0.21    0.23
2DE3A       365      XRAY        1.600    0.18    0.20
2BRYA       497      XRAY        1.450    0.18    0.22
5H1NA        74      XRAY        1.470    0.21    0.22
4H0AA       323      XRAY        1.900    0.20    0.22
1A9NB        96      XRAY        2.380    0.28    0.33
4GYTA       194      XRAY        2.050    0.17    0.21
3KXAA       141      XRAY        2.800    0.23    0.28
2P17A       277      XRAY        1.520    0.19    0.21
3RLGA       302      XRAY        1.600    0.17    0.20
5YAXC        60      XRAY        2.500    0.24    0.29
3GDHA       241      XRAY        2.000    0.18    0.21
4Z8ZA       323      XRAY        2.550    0.18    0.22
2W3XA       147      XRAY        1.750    0.20    0.23
5UM2A       334      XRAY        1.140    0.12    0.14
4QJVA       259      XRAY        1.600    0.18    0.21
3C18A       290      XRAY        1.900    0.19    0.23
1E2KA       331      XRAY        1.700    0.21    0.25
4HHRA       652      XRAY        1.510    0.15    0.18
2V0XA       235      XRAY        2.200    0.21    0.26
1WT6A        81      XRAY        1.600    0.23    0.27
2CXKA        95      XRAY        1.850    0.24    0.26
5JICA       273      XRAY        1.400    0.14    0.17
3VZ9D        73      XRAY        1.030    0.19    0.21
6E12A       225      XRAY        2.400    0.17    0.20
1G12A       167      XRAY        1.600    0.22    0.23
2PW8I        65      XRAY        1.840    0.18    0.23
4BE3A       314      XRAY        1.750    0.16    0.18
4N30A       221      XRAY        1.300    0.20    0.22
3E4WA       320      XRAY        1.800    0.20    0.21
3IC3A       101      XRAY        1.800    0.17    0.20
3EMFA       116      XRAY        2.000    0.19    0.24
5HU7A       322      XRAY        2.400    0.23    0.26
3JYGA       188      XRAY        1.950    0.19    0.23
1CTFA        74      XRAY        1.700    0.17    1.00
3RGAA       283      XRAY        1.590    0.17    0.19
2OZGA       396      XRAY        2.000    0.16    0.21
4FFLA       363      XRAY        1.500    0.17    0.20
4D5TA       160      XRAY        1.840    0.21    0.24
4EFPA       239      XRAY        1.330    0.18    0.23
4D4ZA       294      XRAY        1.700    0.17    0.19
2Q00A       129      XRAY        2.400    0.23    0.27
4FCAA       525      XRAY        2.060    0.21    0.25
4UM2A       589      XRAY        2.100    0.21    0.24
3F0CA       216      XRAY        2.960    0.22    0.27
4Y99B       106      XRAY        2.000    0.23    0.26
3OXPA       150      XRAY        1.200    0.15    0.18
2VVEA       254      XRAY        1.770    0.18    0.23
5JQSA       289      XRAY        2.650    0.21    0.23
3TDGA       273      XRAY        2.100    0.22    0.24
2P65A       187      XRAY        1.700    0.20    0.24
1ODHA       174      XRAY        2.850    0.22    0.28
3HRZA       627      XRAY        2.200    0.18    0.23
1E94E       449      XRAY        2.800    0.25    0.30
5ULBA       337      XRAY        1.280    0.11    0.15
1XFKA       336      XRAY        1.800    0.20    0.23
5B66E        83      XRAY        1.850    0.16    0.20
1P91A       269      XRAY        2.800    0.25    0.30
6ENXA       271      XRAY        1.950    0.20    0.24
2QPVA       156      XRAY        2.350    0.21    0.24
1LRZA       426      XRAY        2.100    0.18    0.21
6GUGA       292      XRAY        1.450    0.17    0.18
6D0GA       318      XRAY        1.780    0.18    0.21
1T92A       116      XRAY        1.600    0.17    0.20
3R9FA       188      XRAY        1.200    0.18    0.20
4AE7A       220      XRAY        1.450    0.14    0.17
2Q18X       293      XRAY        2.100    0.20    0.22
2VK8A       563      XRAY        1.420    0.18    0.19
2WQKA       251      XRAY        1.500    0.16    0.19
4NZGA       100      XRAY        2.150    0.24    0.27
4P17A       313      XRAY        1.790    0.20    0.26
5U9JA       169      XRAY        2.100    0.24    0.29
3WQMA       301      XRAY        2.100    0.20    0.24
3MKHA       438      XRAY        2.000    0.18    0.21
2B2AA       199      XRAY        2.220    0.24    0.26
2QNTA       141      XRAY        1.400    0.17    0.20
5UQZA       354      XRAY        1.150    0.13    0.15
5HB6A       144      XRAY        1.300    0.15    0.17
1P1JA       533      XRAY        1.700    0.17    0.19
3LWJA       202      XRAY        2.070    0.19    0.23
3ZEUA       231      XRAY        1.650    0.16    0.19
4I79A       399      XRAY        1.750    0.18    0.21
4PHZC       256      XRAY        2.590    0.24    0.29
3KF8A       220      XRAY        2.400    0.23    0.27
4C0OC       125      XRAY        2.560    0.22    0.27
4J7OA       367      XRAY        2.170    0.18    0.23
3M7KA       142      XRAY        1.920    0.17    0.20
4UHCA       282      XRAY        1.030    0.11    0.13
3DR2A       305      XRAY        1.670    0.21    0.24
5XK2A       286      XRAY        1.690    0.14    0.17
1P5VB       147      XRAY        1.700    0.20    0.24
6BC7A       302      XRAY        1.800    0.15    0.19
4KBXA       388      XRAY        1.600    0.17    0.20
4AE5A       167      XRAY        1.850    0.21    0.26
4NWBA       278      XRAY        1.800    0.18    0.20
5TJJA       260      XRAY        2.500    0.19    0.23
3N6YA       137      XRAY        1.500    0.18    0.21
4RT6B       214      XRAY        2.800    0.18    0.23
3IAXB       115      XRAY        2.600    0.19    0.26
6CGMA       700      XRAY        2.000    0.20    0.23
3DCLA       284      XRAY        2.250    0.17    0.21
6C4MC       474      XRAY        1.940    0.19    0.23
5YO6A       106      XRAY        1.200    0.21    0.24
3KB9A       382      XRAY        1.600    0.16    0.19
5K5ZA       314      XRAY        2.370    0.21    0.26
1QHLA       227      XRAY        2.200    0.22    0.29
5HKPC        57      XRAY        2.200    0.20    0.23
1IRQA        71      XRAY        1.500    0.21    0.23
5ANZA       420      XRAY        1.610    0.18    0.20
4I6XA       131      XRAY        1.500    0.19    0.24
3LYEA       307      XRAY        1.300    0.13    0.17
6GHCA       287      XRAY        2.850    0.22    0.28
3ZHEB       395      XRAY        3.000    0.22    0.25
3IC9A       492      XRAY        2.150    0.19    0.23
2GEFA       217      XRAY        2.200    0.26    0.27
1I9ZA       347      XRAY        1.800    0.19    0.22
1TY4C        57      XRAY        2.200    0.22    0.23
2D8DA        90      XRAY        1.150    0.21    0.22
5YDDA       142      XRAY        1.500    0.16    0.21
4EQSA       437      XRAY        1.500    0.18    0.20
4OJDH       526      XRAY        2.260    0.20    0.22
5GZKA       461      XRAY        1.700    0.17    0.20
1NU0A       138      XRAY        1.600    0.19    0.23
3BZBA       281      XRAY        2.790    0.21    0.26
3HWUA       147      XRAY        1.300    0.12    0.14
